R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,
13780,17705,15424,17259,18285,16897,37266,14496,13622,16193,11307,12499,11147,12054,12188,13531,12047,12407,11832,11968,
15057,17276,17273,18013,14955,14910,15489,15102,15691,15138,15096,15883,14972,14777,14912,15178,14746,22240,18129,18022,
20197,38555,30260,29575,31782,26852,21423,22867,29453,33108,30043,33632,22527,19881,19635,61049,29991,33165,31950,33944,
37430,37428,30560,32123,32037,30834,27888,27705,31025,27133,42712,44285,37831,31569,29998,41641,36260,30761,38147,39330,
38848,49968,37112,48887,38124,42501,43342,41764,41565,41456,67889,43230,37323,37979,38422,36846,41789,36884,37379,37846,
65625,82951,80815,80939,57260,148546,78599,101382,78849,55137,51036,62897,100603,55916,78373,83632,61924,49507,86757,56787,
107478,98945,74092,71547,72454,79813,71433,71577,93880,65330,67588,111344,72250,75005,107527,145370,70702,103322,100449,72828,
85578,80658,173653,80513,79838,79795,79654,78802,81381,86742,80183,99261,84411,80333,101688,82282,79447,80795,81531,79770,
104082,124738,102165,100041,100715,102680,120818,137668,105134,101190,102321,102946,102548,177434,114523,113786,101086,101835,98666,102565,
126630,124926,125163,124683,172034,198918,176313,199075,200541,198085,205667,199420,138674,153722,158984,187824,166166,128425,179695,167978,
174684,150709,153659,280308,189627,176986,175990,152242,177338,155744,177307,234604,178868,179142,268302,196128,160460,195563,154596,217133,
304738,227228,250441,308360,212796,289487,294062,450354,187538,185306,218373,248515,248768,187651,200797,224441,201630,277608,294883,290846,
314475,338213,336018,382281,317523,301682,339773,362955,296084,323673,364041,226310,224786,254220,222880,301733,328955,256402,223884,223861,
266419,264005,264375,391574,297399,309946,268821,263101,267327,284063,268370,269708,270052,260647,269084,266565,265858,267118,266313,268664,
418159,379940,318658,311257,317631,315455,317411,314167,412779,314730,316408,314575,311029,311838,315691,318111,316996,329783,338824,319163,
366410,367086,383244,371143,366712,388655,462813,542647,393054,446304,367741,424983,476507,451675,412529,434182,427792,436355,454212,367000,
431896,448986,431531,433557,451280,490219,431641,472693,512930,429739,483079,430929,486530,610136,636424,503498,577416,429433,429160,419849,
498650,567704,664904,551265,488131,493555,604762,654436,528850,555745,634562,674663,631591,492762,533781,533523,574263,641766,543769,487166,
660625,698263,828564,571488,634026,683488,607448,678050,574596,567335,562730,602130,634736,567611,651761,772717,776769,757457,737372,577286,
647699,809899,731472,738103,885986,788952,680462,646331,651710,722941,674653,756505,956021,721339,765206,649111,654489,827701,645531,647536,
732718,801713,794271,731266,1079706,774063,906347,867701,877603,751671,780435,746965,1100406,869316,816974,1067912,723935,913383,972137,845987,
992260,908037,935003,1132822,968860,833084,882576,935496,818932,864418,906072,838566,872406,973494,831302,1063914,890903,832313,1084981,927071,
926203,1173362,1056013,1302882,1068344,992015,1019128,1114117,1117493,1533213,933858,1042043,1196307,934565,964333,1173761,1059378,959883,1590076,1057215,
1262191,1093134,1364671,1434411,1096532,1205468,1153886,1303944,1611755,1156939,1469189,1068356,1155430,1460852,1049366,1075798,1322831,1228613,1182505,1277676,
1416320,1932082,1176681,1331998,1238835,1312123,1309576,1322226,1504061,1230262,1807523,1192991,1162683,1288688,1211381,1501737,1175516,1210716,1288523,1177026,
1385657,1382310,1493231,1620068,1351773,1609518,1295985,1385709,1619546,1372643,1570118,1281380,1286129,1381896,1389567,1546527,1285533,1368445,1365869,1438586,
2116773,1713631,1774078,1745997,1812118,1590370,1674622,1949308,1779317,1651617,2393067,1971543,1825764,2078233,1522937,1737812,1535527,1524573,1847240,1426334,
1565142,1835220,2082874,1680419,1975668,2587361,2855859,2244959,1844163,2874123,1846071,1815004,2933468,1832371,1635835,2123336,2044162,2268475,1720244,2469512,
2359218,2458110,1995675,2366575,1898872,2105287,1868619,1766728,1833941,2104575,1974338,1824991,1839196,1876070,1824472,1965897,1753577,1933587,1789162,1987614,
2115392,1958753,2191414,2259222,2095944,1945630,2195997,2355577,2197370,1994939,2059425,1943652,1923652,2051904,1994700,2050286,2058723,1961132,2154070,2137581,
2156163,2201565,2669953,2158096,2275552,2250561,2589933,2376392,2162119,2172392,2166572,2137936,2176823,2195836,2269841,2232861,2150133,2282562,2405686,2232843,
2494695,3202630,3620042,2527148,2431596,3666023,2625487,2415409,3350138,3365172,2426519,2794015,3496186,2286073,2544259,3647875,2442117,2616040,3559628,2440976,
2831815,3774084,2515787,2892749,4280420,2576878,2972740,3576415,2595609,2841544,3277230,3208478,2624119,3110709,3412302,3110302,3552620,3498888,2880655,4096116,
3905423,3018337,4220551,3088001,3257807,4067268,3054736,2877959,3642586,3021655,3030072,3965642,3338902,3539079,4340752,2820482,3221752,3963348,2806850,2930966,
4046213,3218733,3639309,3915147,3332670,5021516,3370193,3354557,3590751,3264666,4261700,3787346,3255619,4103182,3378497,3240015,4533002,3063760,3262585,6661080,
3563099,4295222,3644639,3559176,5247163,3810136,3793202,3562517,3667721,3453952,3641272,3469092,3278956,3482214,3455321,4203313,3393819,3269188,3369029,3203114,
3548159,3537466,4285332,3567893,3730018,3993368,3624242,3549761,3644528,3887962,3789408,3735742,3654389,4205936,3971738,4667666,3898962,3478222,3552481,3664009,
4003453,4613167,3811795,3892040,4823400,6215361,4271616,5949813,3929367,3798282,3823804,3899370,3826126,4286446,5366720,3829713,5556143,5973912,7382423,5352613,
6232035,4306932,5161622,4685897,4096238,4211380,4380270,4208575,4207645,4103417,5571161,4310627,4632245,5167258,4269398,4269632,4084550,4153079,4095114,4112259,
4314900,4600030,4514425,4466154,4879737,4310317,4471750,4606372,4489647,4481216,4499641,4533048,6348485,4498449,5857483,4397607,5416814,4462005,5667688,5255798,
6220066,5370133,5054247,6302772,5012228,5918557,5299362,6160975,5089142,5854427,4989566,6171392,4986621,6679982,4794105,7007187,4695768,7435789,4681768,5966200,
5118306,7616177,5235947,5923932,6144594,4995127,5213972,5076076,6963870,5265403,5149271,5098486,6439547,5641781,8127348,5323646,5617080,5466290,6139850,5534328,
7020470,6530022,6966316,6817950,6703494,6976678,6744963,6963307,5733683,7276914,5807207,7404015,6109601,6730077,6072262,6636841,5864735,5826445,5906826,6696733,
7243545,7295169,7101613,6326730,6970978,5902360,8055249,6544450,7310794,6259465,6976777,7514525,6835103,8341862,5805256,8184188,6082214,7081640,5981157,7678979,
6248567,6828923,6626013,6978135,8675748,6331378,6571228,12124930,8081514,10355753,6835957,6314733,6199485,6284208,6865160,6460949,6137965,6136103,6245406,6169523,
6518164,7675239,6624623,7376141,6714948,6616761,6535187,6792822,6625540,6494636,6569142,6628119,6541650,6616331,7028231,6610400,6773087,7448595,6527987,6544788,
9879573,8312211,8775351,7569281,8048109,7857948,8363304,8304134,7614873,8117921,7593607,8080312,8244768,7522207,8052030,7977615,8195194,8594464,8208868,8398719,
9554102,8872355,10068196,8830249,9192337,9214249,8446124,9451850,8891623,8766634,8840134,8538331,8678626,8419324,9902827,8932091,9536165,8781607,8635251,8993299,
8978945,9171874,8634293,14700322,18144869,13384574,9674779,8218934,8708569,10333737,8245075,8409556,7946479,8001952,8109876,7816352,7766191,7797949,7965404,7933708,
8636160,8862321,9403074,8980049,9473294,10806761,10798405,9222477,9770514,10650296,9965517,9237532,8753722,10940542,9767112,8574957,9854011,10634153,9058911,9060338,
11534533,11810245,9848688,9612107,10340750,11345335,10072706,9497669,10628525,11934427,10455833,9398590,9913225,10070833,10536307,8795451,11374157,11171051,10130445,8812236,
11383061,12594828,11077171,10271458,10808640,10555210,12500957,12246433,10715688,10062392,11677954,10751775,12189131,12326796,11238528,11256762,11236015,10855229,10758359,12274151,
11702586,11824128,12608291,12581568,11839491,11701235,11798995,12273495,11400772,11644315,12019216,10685259,11085662,11819806,11056949,12083854,11089017,10965064,11857857,12373873,
12337681,11529272,11895408,11378194,11895033,11484112,11684708,11842622,10991548,11929030,11365132,11997880,11017447,11684740,10926743,10741306,11117241,10767952,12219367,12341809,
12595224,11906403,11635121,11335592,11438102,11433126,14342138,11306738,11243439,11247126,11194026,20120536,12753701,11539318,11309664,11607764,11120382,10853093,10915826,11267807,
