R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,
1772,2045,1952,2158,2142,1826,1752,5639,1496,1987,1565,2336,2172,2107,1856,2087,5972,1858,1399,1449,2482,1812,2060,1566,1786,1471,1791,1410,2127,1443,1788,1407,1429,1550,1449,1784,1577,1609,1455,1533,1524,1465,1586,1461,1499,1512,1518,1798,1724,1751,
2569,2539,3250,2473,3454,2498,3242,2898,3120,2577,2509,2395,2299,2439,2903,2739,3065,3007,6902,2994,2536,2292,2452,2546,2572,2395,2471,2406,2461,2465,2535,2434,2656,2408,2430,2593,2598,2685,2385,3113,3288,2605,2501,2779,2468,2596,2387,2345,2430,2437,
5170,5247,5196,5240,5069,5722,5071,5899,5596,10226,5821,5397,5173,5235,5023,5286,5133,4967,5565,6385,9820,6522,5121,5159,5137,6787,5274,5179,5383,5416,5152,5286,5254,5190,5190,6662,15942,7551,8405,5222,6560,5288,5167,5329,5263,5252,5257,5306,5218,4885,
12397,12891,12743,12834,13480,12402,12157,12360,14076,55549,12723,12787,12337,12772,12349,12455,12681,12625,14261,14231,12896,12410,12820,12810,17330,12890,12893,12711,12766,12682,12549,12570,12762,12323,12513,12413,12217,12424,12723,12336,12330,12104,12602,12812,12815,14400,12575,12569,12604,12626,
33898,32392,33373,32664,32714,32912,41660,43988,32538,36099,32046,39754,32510,42005,32335,32803,37530,37538,46220,40582,35441,36722,39868,41825,49294,32415,38786,32996,40008,32773,41818,32630,41541,33233,35876,33645,33900,42206,39586,48913,32861,35830,34587,34956,32785,33194,32459,32456,33330,37298,
105311,101440,109183,116103,136355,110761,106117,109476,140153,143300,142645,134984,121268,89517,117263,102064,111539,90247,136979,90703,89758,89746,90583,90566,89790,90920,122756,110853,129881,129820,120972,107131,127594,135992,90356,115587,112057,135953,89325,89812,91069,90084,90601,90826,90415,90513,90424,90140,90624,89965,
251428,249752,251463,250024,251198,252110,282998,285172,309864,263918,250490,251822,251035,250481,251519,274273,272311,279645,250680,252530,252113,337266,250648,293641,339474,251446,251914,376758,374997,398978,282377,250213,300326,251347,251133,250061,252036,262876,251482,251369,322993,250888,268476,322522,250729,251582,249907,252167,251620,251852,
706334,895109,832477,766053,794198,1053324,822245,768902,705209,705227,704976,813941,1056962,802374,703460,904460,878096,793934,708584,704641,822742,880315,906972,703233,704140,703327,703742,705311,706472,707325,705722,705754,732503,704877,705723,770187,777736,705029,707589,706364,704756,703903,704398,720900,703542,706266,704699,704703,703106,705375,
2028628,1988347,1983308,2308550,1984708,2052502,2099025,2304615,2322582,2164122,2188241,2327529,1986729,1989524,2076296,2108176,2260815,2100348,2192813,2031780,1988051,1989699,2071153,2031185,2247931,2085651,2016415,1990837,1989470,2035380,2026707,2042702,1992049,1987146,1985928,2030239,2120152,2028430,1987810,1986259,1986253,2026881,2043888,2029076,1986700,1986951,2024380,2416454,2380043,2061728,
5734591,6276171,5756138,6321140,5779120,5691636,5694066,5763517,5741412,5732433,5700396,5909265,5690897,5736928,5729846,5707926,5748382,5729829,5737961,5707761,5772125,5694542,5725504,5724157,5850738,6006898,5701249,5720166,5689646,5711105,5708669,5746253,5740280,5713132,5714149,5715621,5759467,5738855,5713103,5693294,5733478,5739153,5770704,5688000,5723757,5755347,5706612,5693296,5724130,6002088,
