R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,
1879,2071,2130,1515,1945,2144,1885,1950,2152,1776,1824,1434,1671,1461,1495,3722,2091,1881,1656,2382,
3934,3933,3908,3440,3341,4140,2411,2439,3082,3819,3853,2429,2943,8404,3697,3354,4275,3847,3535,2612,
5972,5777,6788,5378,5202,5139,5033,7110,6535,7259,6179,5932,5261,5024,5343,4875,5485,5355,6685,6911,
17175,19818,12649,12570,12948,16770,12128,41653,13906,18910,14080,12618,12652,12799,12737,12506,12290,12991,13024,12472,
32937,33219,32500,33311,33164,33054,32332,32904,33034,35644,35222,32906,46227,43547,31905,33645,32883,36977,44560,52119,
140223,139486,140554,139296,118432,99328,99839,112274,125872,87995,88206,87745,99441,88394,88891,88466,88577,89945,88928,87863,
312453,245446,244201,330672,299689,274617,244803,245263,254747,244240,244060,245591,242514,356163,388970,274511,244040,314513,244129,245311,
710029,680648,681010,679804,681743,711816,755316,904561,816137,835845,955536,759075,681752,712720,825602,884991,848855,974770,682584,839936,
2144183,2023335,2309482,1989280,2001162,2011629,1925580,1938935,1965653,1980708,1989209,1925841,1926970,1924055,2037177,1991204,1968035,2066513,2044944,1923856,
5563136,6123806,5558595,5936813,5627848,5621088,5519499,5569292,5557598,5812171,5577323,5614211,5609740,5610346,5581543,5566928,5599791,5660282,5657609,5753824,
16080921,16341659,15782912,15811845,15824110,15770307,15790671,15780038,15791145,15963407,16152773,15836350,16025608,15913775,15937105,16105743,15767710,15870650,15894550,15883829,
45829731,45121686,44941580,45116073,45372519,45950713,45026044,44972816,45113714,45039474,45156340,45014283,45119167,45000473,45161783,45209529,45091871,44969726,45172352,45284260,
131041141,129211812,129969815,129276022,129646370,129250151,129240809,129275323,130936456,129798467,132523088,130534026,129450902,129415749,129434782,129382509,129307311,130010957,129193178,129272323,
378826975,378232351,377455951,377758214,380068703,377255028,377822441,377628198,377359141,377052656,377086028,377627340,379802025,377112096,378102341,377275253,377286961,377472385,376937069,377440087,
1111244403,1112024831,1115121811,1112122655,1111058147,1111197192,1137480561,1111388838,1111100507,1111560279,1115897513,1111534158,1111130506,1113417937,1112844045,1110682127,1111129368,1117406294,1110197085,1110268508,
