R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,
1917,1955,2144,1437,2093,1621,1970,2107,1954,1684,2378,2422,2348,1901,2180,4283,2372,2102,1983,1392,1603,1413,1986,1952,2310,2185,2078,1522,1922,1589,1724,1467,1393,1712,1515,1498,1496,1360,1421,1543,1448,1359,1293,1365,1334,1384,1363,1367,1420,1532,
2403,2474,2270,2384,2369,3070,2340,2329,2726,3305,2324,2587,3266,3331,3809,3250,3722,3316,2795,3234,2381,3324,3504,2292,3223,3378,3707,3253,2515,3214,2327,2950,2388,3000,2468,2269,2576,2721,3167,4049,3782,3845,3291,3720,3946,3602,2382,2412,2391,2478,
4691,4662,4784,4739,4476,4632,6153,7337,5256,5401,4660,4757,4538,4829,4723,6684,4546,5070,10055,5850,5510,4686,4831,4489,4547,4788,4737,4826,4622,4803,4698,5044,4816,4817,4642,4791,4801,4721,4638,5276,4754,4691,4629,4888,4766,4852,4750,4802,4740,5025,
10183,9829,9968,9844,9920,10095,10150,10318,10375,27617,12834,9886,10376,12605,15573,9755,9909,13197,10867,12268,10207,14596,14349,15879,15372,16107,13202,15269,15929,15360,10084,15685,15629,15890,10262,15636,9955,10126,10151,10225,12776,16183,12940,15480,10163,10297,9823,9893,9821,10453,
27430,26307,28324,21893,22008,22304,22178,22802,25447,22035,29341,25616,32858,22541,22261,21990,22377,25088,36382,41386,24511,30429,21788,31357,22136,29996,22499,22266,22686,22089,22279,23551,22211,21898,38004,29590,28838,35641,22371,22503,21854,22274,23004,22318,22413,22215,22285,22437,22533,22490,
65429,75023,67811,52607,70256,70892,57860,98353,51768,70849,66754,51909,51754,64018,66444,83793,56806,56828,56705,52372,51928,52859,52526,53356,52645,52799,52996,52924,52188,52221,54164,70040,52753,52910,52537,52175,65057,51910,53109,67327,82887,54578,67041,53002,70785,74098,52454,88719,51554,63549,
160849,208933,174699,135997,167066,135757,153586,185223,137224,136431,135323,136226,139386,136374,136392,137099,147285,203806,159934,136350,137069,136026,168153,147443,182958,184350,136209,183926,181025,135684,184742,136571,135998,146819,203813,167789,136825,137068,136686,137198,136345,136666,136808,136484,137278,136429,136594,136883,136522,136546,
378839,379223,426679,396866,493984,485667,448347,409209,377997,379189,536541,511176,460128,593063,473943,435002,487481,511938,540683,538874,511136,470489,510751,511688,538863,539758,569911,588712,511573,546032,547790,511370,537256,586643,595994,532594,568416,502307,411021,512136,417939,379859,379419,379158,378492,408996,380002,379394,511472,378182,
1091895,1154957,1093666,1174527,1309708,1090819,1091477,1144337,1089890,1091973,1495184,1158818,1301938,1091384,1425743,1318377,1301035,1091740,1259057,1096855,1290690,1144031,1091200,1091779,1090697,1091550,1271416,1176746,1262845,1125446,1181307,1091260,1336078,1261088,1138328,1330460,1134748,1199892,1142308,1157097,1122929,1091366,1091103,1140759,1089825,1139043,1095214,1091606,1091907,1089815,
3323620,3198575,3503271,3234910,3331814,3558744,3373074,3243873,3254782,3382826,3240702,3214987,3200334,3247551,3248091,3235559,3238910,3243992,3244657,3199520,3400708,3359136,3285309,3242491,3261016,3238182,3199430,3257059,3320645,3241223,3366919,3353872,3200141,3338304,3454712,3337276,3324412,3355004,3243780,3491258,3417707,3248145,3326143,3199168,3232109,3238529,3237965,3243310,3233239,4292419,
11071385,9589220,10189024,9635943,9564567,9529931,9565838,9530773,9530055,9566124,9535282,9634200,9549725,9555606,9535623,9532299,9555240,9539412,9531380,9956093,9656250,9556144,9542752,9561403,9559798,9601397,9565873,9571435,9567905,9560592,9596512,9531136,9615664,9529056,9535181,9557193,9540524,9535476,9535310,9594054,9533166,9610265,9558684,9543424,9551948,9575835,9563595,9532958,9526788,9586734,
29883632,28443100,28433444,28400618,28415318,28362319,28644552,28371829,28675293,28489322,28400274,28380129,29210427,28406817,28322055,28383621,28579720,28391290,29026660,28707149,28413675,29021925,28625818,28952364,28892903,28388522,28410504,28358205,28823594,28467848,28426462,28518677,28770695,28386412,28391074,28689596,28393948,28383275,28359861,28349533,28366332,28426692,28390543,28419742,28373939,28362261,28664669,28416217,28649582,28443745,
85408560,84431533,84552762,84498107,84999027,84480873,85089257,84291792,84411816,84347949,84773152,84561978,84605812,84854837,84503487,84750285,84629511,84486606,84446104,84391083,85304099,84405706,84691388,87328943,84523223,84957193,84496513,84799885,84386267,84498389,84544145,84550610,84576806,84566338,85376219,84834695,84364514,84475948,85020939,84696111,84730121,85295279,84330585,84737444,84746964,84748919,84439458,84772967,84908353,85080037,
