R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,
1898,2075,2078,1842,1759,1633,1820,1679,1962,1827,2276,1690,2397,2401,1850,2366,2656,2312,2324,1842,1904,2521,2409,2176,1610,1832,1957,2326,2306,1875,2323,2497,2016,2388,2333,2289,1470,1550,1624,1688,1586,1567,1522,1330,1435,1717,2237,1770,1459,1428,
2547,3152,3859,2924,2329,3672,3425,2736,3450,4003,3283,3505,2634,3235,3460,3901,2813,6414,3547,2754,2564,2637,2811,2361,2971,3437,2539,2587,2546,2420,3261,3238,3483,2530,3053,3788,2839,3358,2396,2597,2330,2630,2563,2397,2431,2463,2522,3629,2856,2566,
6091,6234,5172,5309,7010,7110,6013,5880,6818,7200,8152,5506,5351,5650,5245,5156,5405,5261,5464,6816,5491,7496,5297,8407,5157,5425,5195,5692,7362,7122,8646,7275,5608,5347,5120,5141,5302,5193,5326,5280,5296,5359,5269,5206,6108,6268,7202,8213,8408,7455,
16136,17922,15112,16407,12652,12673,14223,12689,16369,12708,12179,12529,12736,12786,12591,12518,12356,13022,14888,16144,15556,12788,12956,12370,12517,12270,16518,19898,18903,17201,16294,13817,12422,12587,12610,13368,12304,12666,13971,16758,12895,12571,12701,12603,12663,12684,12262,12622,12569,12587,
30702,31151,30441,33029,29876,30655,30919,37293,30160,32244,48153,45257,46996,39160,47909,37007,51027,39391,42080,34115,34195,31917,31746,31870,32858,32453,32076,39711,44659,42211,31255,32271,32257,30626,31879,30047,30973,31479,41829,31273,36315,30329,31634,34313,41019,41087,32188,32389,31486,32354,
99189,89234,112894,84303,85186,78437,96043,82729,109949,116555,125338,101140,129076,109860,121519,107387,114940,78388,85516,88264,81591,80614,81675,118332,115585,84138,80347,81132,80823,95752,83584,84400,81461,85366,123693,83724,79808,81557,79023,83350,83226,78620,81698,83330,77545,91979,79202,78492,79597,83344,
201688,217108,208808,202014,213512,214339,251606,216393,221118,211189,221306,258077,204888,217555,210339,210407,217351,219126,205018,245575,275062,293094,288090,274979,304782,325181,256150,213178,204561,214822,241869,228751,214564,206730,216017,218533,232212,225905,212653,212682,213724,214988,214277,225212,252529,308169,225512,209189,222689,212494,
635601,672734,582744,578557,643645,573758,851344,651355,605585,620048,597936,626647,558877,602888,753129,822453,615800,575169,602346,564599,653710,605276,622649,563209,579810,640551,605629,604415,567028,616742,560906,611355,591217,552248,598572,614999,574567,636016,591846,665795,551354,562990,594294,661352,551668,578708,729654,598158,573433,624531,
1529870,1552471,1721962,2003030,1632323,1554689,1644294,1621214,1637328,1587618,1698327,1602125,1580415,1572153,1625368,1649183,1653499,1540810,1612949,1691960,1720553,1563257,1690960,1755470,1718090,1536015,1657042,1675050,1617273,1555296,1622753,1667317,1650430,1574253,1542896,1603111,1657032,1703593,1552350,1577711,1613853,1729706,1648930,1638363,1685004,1577389,1657104,1645284,1728910,1725596,
4519542,4886576,4499549,4472097,5108569,4766318,4434334,4672499,4735245,4571285,4623731,4475393,4592355,4432812,4709306,4628664,4751038,4601582,4480685,4413868,4470398,4587005,4427885,4567931,4698694,4389296,4417599,4540832,4387856,4412596,4549780,4617671,4756259,4441698,4478393,4653411,4985644,4646611,4911306,4994290,4614827,4797363,4842249,4448518,4520611,4466337,4975354,4447514,4801641,4666443,
