R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,
2239,1237,1206,1341,1328,1156,1172,1138,1317,1529,1841,1693,1382,1334,1466,1127,1125,1239,1229,1195,1191,1082,1034,1604,1713,1634,1202,1621,1222,1797,1904,1620,1411,1317,1598,1195,1218,1136,1107,1286,1439,1599,1785,1684,1163,1172,1585,1086,1116,1109,
1397,1295,1284,1509,1251,1177,1432,1255,1492,1522,1299,1440,2136,1598,1294,1420,1205,1242,1260,1617,1973,1603,1405,1666,1645,1773,2111,1642,1379,1867,1841,1525,1259,1328,1240,1280,2570,1792,2009,2011,1442,1368,1425,1669,1283,1809,1947,1400,1231,1250,
2058,2392,1550,1408,1518,1463,1376,1774,2212,1719,1871,2144,2256,1683,1327,1400,1460,1622,1745,1835,1790,1769,2214,1811,2008,2161,2072,2165,1426,1427,1336,1487,1615,2169,1924,2349,1418,1477,1568,1666,1934,1998,1971,2199,2018,1259,1864,1316,1969,1919,
2114,2170,2384,1565,1600,1621,1983,1927,1868,1658,1536,1607,1472,1606,1542,1579,2048,1798,2070,5705,2091,1604,1645,1713,1610,1652,1591,1520,1671,1809,1723,1659,2354,1557,1594,1514,1773,2120,2490,1742,1658,1621,1532,1650,1713,1459,1593,1647,1581,1570,
1991,1872,1784,1708,1690,1738,1754,1706,2202,2255,2691,2244,1912,1667,1787,1610,1621,1818,1866,2097,6712,1923,2113,2143,1811,1653,1683,1668,1686,1885,1803,1596,1706,1669,1743,1758,1978,1931,1809,1677,1794,1792,1778,1762,1857,1802,1939,1857,1728,1806,
1955,1917,1950,1872,1852,1917,1942,1771,2771,2159,1932,2869,2469,3022,3032,2441,3049,3047,2653,2379,2528,1909,2120,2366,2857,2971,1912,2704,2633,2155,3102,2047,2067,2215,1926,1872,1990,1892,2149,2147,2534,1932,1957,1871,1898,2019,2035,1954,1912,1927,
2215,2098,2132,2860,2506,2985,3195,2735,2437,2224,2099,2233,3162,2685,2483,3251,2571,3355,2708,3184,2127,2091,2175,2077,2006,2169,2142,2135,2060,2078,2094,2148,2120,1985,2021,2125,2487,2268,2173,2154,2138,2207,2239,2234,2080,2155,2071,2135,2094,2020,
2280,2314,2502,2602,2310,2254,2154,2670,2532,2633,3247,2910,3594,3050,4025,2341,2695,2401,3505,3152,3376,2410,2815,2396,2943,2364,2393,2278,2479,2273,2482,2352,2431,2270,2583,2624,2771,3756,3611,3285,3162,3634,3036,2285,2356,2439,2782,3164,2363,2337,
2478,2454,2482,2448,2452,2471,3305,3523,3347,2471,2513,2473,2415,2393,2430,2893,3326,3416,3274,2652,6082,2916,2628,2577,2550,3037,3059,3910,2982,2723,2630,2680,2604,3119,3088,3318,3367,3938,4005,2531,3649,3412,3565,3206,2528,3242,4016,3482,2594,3553,
3880,4383,3283,2655,3121,3309,4306,2957,3085,3366,3956,2914,3003,3348,3655,4218,2881,3779,3313,3545,3596,4060,3757,3663,2803,2691,2826,2747,2816,3431,3867,2892,2676,2922,2851,3008,2703,3155,3027,2814,3088,2736,3353,4374,3037,2624,2783,2753,2869,2675,
3003,2957,3053,3045,2931,2926,3028,3552,3300,3076,3174,3105,2997,3219,3079,2980,2999,2917,2959,3612,3522,3435,2946,3604,3261,3040,3128,3178,3086,3124,3072,2844,2986,4153,3148,3101,2906,2888,2929,2953,2893,3000,3087,4012,4400,3226,3820,2950,3929,3046,
4305,3913,3329,3268,3236,3332,3399,5396,3766,4326,4208,4294,4288,3272,3280,3593,3315,3305,3804,3862,4071,4014,3547,3391,3314,3213,3093,3378,3429,3430,3782,3548,3214,3313,3330,3253,3256,3339,3968,3343,3354,3285,3329,3419,3295,3527,3292,3387,3454,4594,
5459,4733,5693,4777,3523,4928,4449,3627,4026,4449,4191,4824,3458,4497,6022,4021,3648,4274,4056,3634,4739,3701,4032,3929,3519,3660,4615,5033,3585,3516,3558,3493,3586,3763,3638,3467,3735,4278,3701,3668,3564,3837,3600,3652,3663,3709,3806,3514,3592,3550,
4292,4136,4117,3909,3926,3990,3869,7082,4971,4370,3822,3990,3981,3929,4033,3827,4182,5005,7214,5520,4206,4178,4041,3912,6017,3897,3987,3974,3789,3926,3904,4054,3894,4071,3783,3980,3900,3934,3903,5526,3858,3889,3909,3870,3821,5942,4609,4128,3999,3911,
4838,6936,4890,4347,4247,4302,4268,6907,4276,4532,4857,4403,4291,4178,7153,4543,4208,4279,4687,7666,5266,5010,4660,4266,4209,4320,4127,4283,14740,4246,4337,4265,4340,4411,4360,4314,4173,4211,4363,4286,4858,5214,5223,4276,4175,4376,4348,4439,4366,4362,
4835,4496,4845,4811,4636,4659,4538,4572,4839,4581,4711,5236,8742,5560,7536,5451,5374,5929,5249,5327,17078,4869,6799,6588,7611,4636,5770,7008,4997,7021,7291,4782,5144,4735,4849,4697,4691,4863,5333,5137,5993,6542,4698,6569,4670,6151,5729,4774,5109,4649,
6033,7327,4917,5508,5305,6024,8980,7394,5131,6017,6995,6533,8048,5739,5152,6064,6302,10525,7734,6154,7735,7904,5383,7344,5354,7472,5721,5886,6193,6973,5599,5126,7948,5430,7183,5653,5762,5770,5663,5665,5223,5370,5798,6074,8917,7673,5717,5862,5734,5783,
6278,6333,6339,6453,6212,6278,6306,6562,6477,6362,6256,6358,6489,6365,6319,5695,5951,7564,8244,6708,6738,6617,7921,8241,5723,7717,5656,6951,7414,8679,7177,8637,6968,8791,8561,8594,5429,7004,5614,7734,7685,8701,7788,8601,5821,5580,8956,5760,5932,7355,
6026,6867,6122,6077,6084,6622,5878,6842,7243,7238,9618,9462,8512,7480,8209,5897,7608,6149,13709,6382,6199,6044,6041,6063,6748,7070,6773,6049,5976,8872,6066,7768,7601,9097,6042,6511,9880,6490,6138,6096,6257,6178,6266,6131,6075,6188,6412,6163,5913,6076,
6897,6505,6475,7438,7382,7609,6488,7372,6673,6538,6601,6497,8426,10295,10625,9500,6507,9026,10418,8006,7405,7352,7373,7490,7434,6599,6430,18521,6391,6606,6515,8398,10209,8979,6599,7056,6765,8141,8951,6636,6586,6484,6708,8565,8459,10267,8954,9483,6692,6568,
