R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,
1434,1200,1222,1508,1783,2089,1981,3590,1305,1152,1682,1268,1086,1178,1267,1066,1797,1684,1676,1121,
1378,1924,2030,2247,1202,1553,1255,1420,1872,1458,1640,1859,2083,1851,1852,4792,1807,1764,2100,1952,
2228,1939,2213,2078,2459,1996,1381,2079,2309,1950,1652,5270,1827,1455,1336,1484,1450,1377,1537,1356,
1623,1626,1619,1628,1592,1724,1707,1622,1853,1640,1530,1905,6123,1760,2020,1531,2055,1476,1644,1500,
1592,1644,1676,1666,1918,1713,1699,1712,1727,1773,1748,2016,4155,2266,1754,1761,2529,1845,1724,1882,
2710,1904,1894,1788,1964,2292,1867,2037,1823,1807,1813,1985,5571,2657,1739,2089,1905,2013,1895,2007,
2243,2029,2015,2032,2039,1926,2693,3056,2181,2680,2366,2327,2920,2571,3246,3363,3254,3141,3785,3511,
3585,3358,2236,3565,3878,3663,3538,6950,2846,2635,2617,3414,2843,3537,2974,2274,2922,3229,2340,2781,
3378,2651,3340,2749,2485,3594,6638,2719,3430,2489,2867,2907,2512,2477,2758,2440,2670,2464,2450,2570,
2842,3744,4226,2723,3132,3688,4973,2828,2712,2784,2867,2882,2807,3610,4280,2896,3958,2718,2834,2673,
3049,2930,3105,2984,3441,6079,3643,3150,2917,3010,3126,3727,2956,4486,3268,2921,2817,2927,2988,3152,
3458,3295,3354,3234,3653,5228,3538,3432,4811,5210,4235,3298,3994,3272,3199,3193,4136,4353,5147,4464,
5077,5459,4946,8371,4176,3588,4406,5160,3532,4564,3579,4846,3536,3788,3423,3520,4992,3557,4632,3671,
5788,5188,5195,4949,3998,4457,3914,4120,3919,5075,4331,5186,4955,6092,5504,4036,5043,4034,5614,5708,
6350,4149,4925,4526,5700,5381,4471,5294,4448,4757,5261,6769,6193,4347,5877,5322,5469,5661,6152,6012,
7052,7005,7272,4855,5596,4744,6674,4678,4818,4791,4691,4544,4667,4535,5256,5489,4618,6721,4847,4680,
5124,5001,5111,5058,7287,6572,5771,5643,6995,5494,5974,16918,5087,8849,6490,5628,7698,5300,5939,5693,
5569,5468,5816,6141,6192,5654,7007,5849,7422,5763,5637,8094,8382,5881,5428,5532,7433,5696,6465,5614,
6026,6049,6257,6089,6276,6445,6037,5975,6042,6076,6834,9671,8991,8256,6182,6237,6093,6054,6337,6207,
6636,6704,6525,8383,6933,6615,6732,9099,6464,9230,6531,7622,7488,7506,6684,6735,6743,6740,7491,8366,
7111,8340,7164,6993,7330,7224,8035,7000,7452,9860,10625,10474,7386,6963,7305,7315,10662,7080,8690,7465,
8403,7646,7689,7495,7658,10389,10011,8285,7625,9260,9756,8312,10327,9734,11949,11021,11179,7742,8548,8919,
10404,8509,11166,11583,10881,8390,36505,12231,9348,9278,11334,13412,9645,8780,8182,8998,10793,8667,8371,8371,
9125,9068,14296,14947,9800,8800,8686,8662,8937,8992,9029,8752,8868,9938,11831,10844,9274,8972,9021,8984,
10314,12537,13660,14051,13170,9495,13207,9602,11355,11001,9720,9587,9867,12980,9944,9684,9563,9509,12146,10499,
13671,14115,13177,10511,10186,10259,10310,10375,10210,10420,10339,10266,10146,10347,10280,10049,10293,10199,10138,10709,
10945,12349,19641,12318,11878,15651,12279,14328,10885,11307,11022,10953,10765,10946,10994,14489,11231,16376,15983,13886,
12323,13827,11796,11746,11872,11947,11797,12002,11851,11808,13274,14034,11632,14061,17630,18168,17595,16545,11645,13981,
14963,12631,24492,17436,18267,12842,15479,14122,12356,16480,14010,15629,12406,12239,17269,19489,31176,15915,18798,12850,
13391,17047,17118,15634,13172,16970,25418,17423,13361,13300,13230,13397,18881,13305,15618,16004,13441,14020,13201,14075,
18148,14574,14444,15179,14725,14426,14538,16719,14712,14419,14629,14644,14484,16857,17210,15957,14367,14440,14676,14491,
15443,15122,15366,15257,15316,15656,15283,15158,15464,15257,15364,15225,15212,15067,18123,21528,15470,15702,17763,15495,
16638,16453,16217,16554,18407,16369,16356,18430,15893,16946,23376,18188,24238,16233,26364,17882,18668,25454,20980,24067,
23178,17381,23035,25533,17116,17102,21986,22022,19386,17442,17120,24722,21070,19485,17258,17018,17213,17232,17712,16958,
24657,25763,18056,25795,26722,24363,32550,17875,35598,22751,21349,19048,26970,26971,18149,24566,28838,24308,25790,18263,
25729,18810,24317,19189,26693,26839,19397,30259,26251,18861,26795,19179,18882,19111,19006,18884,19039,26780,28662,18856,
27168,20296,20560,19992,20178,22634,30714,25163,20199,20277,20250,19956,19947,20264,22494,19969,20084,21238,23311,29925,
21367,21387,58924,20847,20951,24086,31750,23845,24953,23630,23539,23987,23717,23480,23411,23640,23299,20790,26685,21017,
22191,22960,22030,22137,21984,23010,29577,22060,22043,24568,23231,22186,29782,22519,22326,22805,31580,33046,21987,30124,
28709,24137,23052,37015,41958,25225,26534,22938,22934,23042,22934,23047,23215,23110,23284,22898,23070,24924,22989,22896,
