R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,
1455,1550,1524,1074,1115,1474,2508,1386,1422,1075,1503,1739,1763,1676,1499,1201,2067,1835,1539,1392,1101,1623,1496,2027,1076,1701,1078,1058,1499,1206,1696,1445,2006,1182,1060,1212,1092,1100,1469,1690,1917,1110,1231,1426,1169,1372,1372,1593,1492,1145,
1450,1225,1243,1551,1648,1222,1505,2078,1442,1244,1723,1234,1352,1240,1324,1671,1575,1523,1537,1678,1137,1299,1344,1188,1278,1155,1805,1501,1452,1203,1707,1287,1775,1192,1252,1202,1280,1409,1692,1536,2096,1995,1949,1269,1199,1267,1907,1172,1202,1233,
1359,1362,1511,1282,1409,1496,1303,2077,1785,1757,1862,1405,1339,1436,1244,1159,1642,2144,2791,2023,1389,1295,1308,1735,1677,1310,1307,1256,1214,1566,1299,1483,1626,1665,1235,1236,1443,1353,1472,1886,1221,1404,1645,1370,1569,1435,1343,1225,1357,1282,
1702,1587,1671,1711,1682,1751,1813,1727,3329,1927,1679,1772,1887,1836,2012,2511,2216,2878,2730,2485,2143,1818,1945,1972,1880,2084,2677,2418,2790,2569,2754,1830,2102,1780,1838,1869,1921,1864,1869,1852,2493,2385,2881,2163,1688,2101,2659,2728,1834,2308,
2732,4078,2367,2802,2986,3727,3888,2657,3311,2746,3536,2453,2341,2253,2305,2356,2461,2581,3099,2634,2245,3322,2295,2872,2431,2841,2479,2441,3144,2291,3159,2387,3294,3360,3115,2288,2808,2349,3260,2653,3119,2208,3057,3193,3747,2403,2258,2560,2308,2408,
3739,3933,4765,4955,4796,3181,5382,3971,4522,3262,3261,3170,3450,4363,5227,3315,4356,5905,4691,3489,3176,4738,3124,3199,3155,3022,3276,3088,3217,3204,3078,2979,3214,3061,3290,3343,4070,3670,4539,2983,2963,3070,3244,3865,4910,3192,14367,4598,4106,5173,
6622,4201,4176,4052,4233,4064,4014,6675,4337,4250,4168,5523,15884,6123,4238,5084,4309,6015,5238,4747,4270,5059,4353,4306,4459,4274,4163,4449,5684,4286,5407,4333,5696,5616,6941,4379,4086,4387,4959,8786,4555,4171,4144,4321,4071,4250,4130,4199,4308,4100,
5598,5559,5257,5649,5244,5310,5245,5431,5355,5419,8643,6503,6961,5415,8093,7940,7198,5724,6141,6926,5243,5344,5372,5509,5489,5202,5306,5705,5280,5554,5262,5288,5166,5340,5263,5618,5226,5312,5267,6828,5374,5445,5370,5592,5427,5410,5605,5328,5323,5375,
8575,6884,10025,6961,7104,7097,7130,8160,7493,6887,7035,6914,7193,6942,7060,7056,7160,7332,7021,7237,7479,7617,7129,6977,6960,6979,6864,9458,8143,10208,7274,6870,6909,7418,10239,6958,7025,7330,7251,6969,6739,6914,7183,8209,7220,6712,6779,6780,8835,7299,
8903,9674,12874,9030,11583,9226,9062,9810,10140,8622,9764,10479,8947,10572,8758,10215,12777,11293,10378,9309,8954,9016,9772,8731,8653,11200,11776,14430,8732,13480,9012,8945,8910,9251,12722,13283,11726,9022,9848,10901,9012,10204,11446,8933,11402,11165,12848,14430,40114,10513,
11356,15283,11486,12391,11398,11331,14625,17449,12095,11349,10994,14412,15293,11523,14678,15655,24737,12687,15391,11707,12193,11529,13111,11270,14975,11404,14584,11390,19722,11358,11368,11063,11371,11731,11441,11709,11207,13459,11505,11631,11619,11501,12148,11529,11408,13530,14917,11457,14403,11369,
14466,14220,14739,15047,14383,14016,14273,16220,14568,21091,14488,14442,14354,14400,14417,14399,14194,14295,14509,15926,15941,14862,14193,19309,14480,19260,14456,20719,14341,18199,14496,19619,14288,14172,18441,14341,14377,14090,14480,14436,14243,14652,14111,14760,14294,14549,14529,13923,14389,14107,
