R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,
1404,1600,1241,1516,1664,1142,1751,1289,1110,1165,1210,1018,1099,1242,1070,1027,1061,1147,1321,1770,1506,1152,1146,982,1112,1137,1177,1187,1054,1094,1189,1102,994,1242,1083,1127,1127,1195,1110,1086,1151,1024,1098,1195,1074,1091,1068,1094,1131,1069,
1243,1986,1330,1226,1243,1274,1238,1196,1482,1257,1193,1968,1271,1266,1279,1289,1237,1327,1316,1994,1566,1568,1660,1281,1244,1359,1228,1302,1256,1252,1275,1326,1224,1230,1158,1294,1238,1200,1330,1148,1261,1766,1200,1254,1260,1189,1137,1291,1205,1233,
1521,1538,1494,1439,1416,1447,1317,1327,1499,2565,1376,1396,1576,1987,2377,1597,1543,1397,1511,1786,1864,1391,1652,1459,1401,2946,1494,1507,1310,1549,1503,1519,2117,1444,1356,1498,1305,1459,1538,1502,1456,1418,1382,1366,1394,1541,1586,1475,1433,1400,
1678,1556,1494,1522,1464,1675,1750,1443,1728,1758,1657,2276,2153,1593,1628,1731,1480,1561,2030,1700,2295,1633,1760,1708,1444,1765,1751,1533,1699,1558,1930,2391,1793,1601,1585,1707,1592,1704,1577,1795,2003,1666,1860,2290,2173,1625,2171,1549,1989,1979,
2998,1974,2331,2196,2401,1841,1813,1947,2291,1750,1591,1645,1670,1662,1769,1661,1962,6617,2203,2735,1892,1854,1877,1572,1820,1805,1704,2762,2236,3317,2274,1834,1666,1968,1666,1804,2011,1743,2205,2283,1952,2049,1645,1873,1819,1667,2233,2064,1790,1819,
2437,2056,1790,1911,2153,1740,2034,2359,2438,2091,2064,2169,2225,1957,2417,2083,1889,1842,2655,10716,2164,1955,2455,2101,1965,1738,2374,2230,1717,1835,1868,2090,2141,2032,2164,1820,1750,1870,1833,2602,2756,2035,1748,2168,2580,3735,2989,2796,1559,2749,
1978,1939,2012,2595,2332,2373,2805,2107,3940,2407,3761,2572,3237,4018,2090,3391,2792,1985,3004,2701,3945,3463,2467,2139,4490,3840,3036,5418,5329,4251,2299,3080,5441,2082,2972,3844,3154,3344,2571,2976,2738,3129,3081,2525,4924,1786,1820,2496,2400,3371,
1990,5803,4048,3032,4434,2632,7241,5432,4376,2139,4168,3458,3781,3735,3253,2456,2768,4010,4520,3613,2633,4903,3042,3110,5453,2827,2246,2942,5338,2262,4210,2472,2680,3935,2884,2925,2666,3585,3880,8333,5860,3740,4168,5736,6799,3577,4985,3811,2378,2888,
4102,7110,10692,7305,6171,3343,4852,3985,2357,5460,8859,6281,3861,4239,6672,5841,5306,2775,11592,2649,2818,7257,2506,3223,3837,7503,6225,4147,3397,2709,5264,8412,6422,6613,3142,2141,2734,5140,9774,5288,2379,9029,9681,3462,3802,2674,9161,5664,6889,8299,
7430,9836,11385,12079,4398,4231,5833,7524,9336,5872,5929,9076,5535,8917,10026,9805,10844,9139,5578,4397,5423,5194,7743,9632,5362,9949,10723,16112,5582,7134,6189,5788,12782,9083,13163,3608,10072,5037,5490,9056,5726,5707,3833,5028,10058,8038,7523,7742,3901,5033,
8301,18121,11506,5744,5182,16903,14524,12089,9463,6981,13262,21007,7150,7356,14086,6287,13572,21965,6063,25275,12622,19824,12544,22874,4518,23174,7485,15724,15673,14795,14732,10456,4658,13779,7802,6500,20500,13058,8423,4344,6842,3021,17183,7560,8367,12637,7562,9757,12252,6260,
23005,23218,6933,16532,7687,25054,7237,31866,9437,9205,16804,16740,37726,37502,27763,25649,23174,27679,20402,17622,12986,17278,9643,25146,26830,5854,17978,10755,11406,27357,10739,14045,15949,5813,10448,11305,22665,15060,35275,23086,10792,7558,4536,33292,4604,26933,76997,16662,9673,50234,
38159,16229,14756,41193,9338,20042,15837,12854,32319,48807,33505,17924,69157,77601,18830,34166,42648,23295,25620,45039,18582,71277,39614,41313,30199,55291,9725,16780,22841,17911,23764,26716,54428,29375,49969,23274,29064,41304,9555,20051,13575,32480,62060,50235,35914,16511,48470,25948,34859,22039,
39433,46539,54085,39185,57549,16463,76957,62136,37306,18662,21585,63577,32863,29478,67962,53910,82672,49354,64877,46005,77875,42313,20564,92340,55928,65915,93091,32573,89060,67480,43140,59384,113595,26004,28096,42037,117881,60828,70923,51124,18521,15497,36188,96597,105399,44246,108429,11365,67789,50522,
44114,17727,14362,34202,72302,62705,135868,93549,79239,156771,80315,75792,146047,113384,75536,80997,38101,33293,64968,45564,52816,53135,118170,28685,127997,120432,32714,100091,53716,81914,55277,52152,67603,34660,53284,34841,73884,54234,61854,50322,79120,46559,52736,68696,24009,61559,132432,46996,25440,30606,
38646,173302,145350,54109,238827,87368,66567,217658,111756,99592,74380,73969,51416,46845,69085,110076,361041,54751,119697,192932,121580,104204,47680,94447,163436,87311,105625,173100,21331,99877,96267,109409,54567,62625,72522,124293,174161,158206,88249,47511,170400,161961,76261,201020,88561,204477,144233,79479,110387,73968,
224678,91537,129721,156048,253358,98856,216065,147294,290497,309925,134296,192379,83152,460058,108064,191199,150263,48191,70082,311728,158356,168556,138281,99420,155203,78600,61115,68296,85546,87108,65233,222764,103187,193200,143983,28100,326046,89791,142469,225226,75635,190233,226063,91240,531143,153401,154387,294461,305384,157206,
403141,236299,370689,142765,500376,231404,262857,179568,260682,201105,185337,178719,100499,327081,59705,232599,313594,107412,185569,357647,576552,603439,168135,179418,109228,120069,454240,452943,97214,197110,178707,170414,25246,184128,50787,140257,302160,342245,404793,99482,298481,129781,238145,304375,412499,91261,336279,566536,165611,236960,
224623,603287,164488,494613,201828,436206,141814,625078,998140,242995,312245,269955,291521,165330,615098,591845,320675,306092,291076,392075,202206,412330,391222,233697,289384,322415,336707,290300,163208,152856,154936,169948,218224,296324,396450,664413,32999,347043,173906,547896,244254,200986,305842,521271,833730,155391,250125,200224,76214,25964,
230750,918170,501650,607851,300432,743801,317761,583070,130861,617108,417880,514595,565011,623638,724991,545117,517017,399712,688522,459894,706996,430790,638094,208824,546193,361529,781472,264409,265411,652933,421593,271926,360124,878099,131150,839363,413356,275364,514008,843712,181753,417391,257382,351827,463124,960186,498420,255405,546083,571432,
582170,741860,1317684,536509,757144,1405760,573661,240785,943352,1206717,1196943,537293,1062151,282083,891854,1007862,2207164,525463,757735,936672,832219,686705,1206507,1403050,991018,164662,689792,446071,444625,1372938,567247,779401,1135645,1223223,311348,931685,588337,466156,182744,1172715,817848,779756,723716,240100,591933,1366773,194051,1182656,541164,984435,
1945723,484369,438989,1028202,1291186,1029721,1011512,1996291,654880,2281739,865799,2123423,523565,895459,1828976,444823,568476,859071,622989,520083,2475004,2737517,331023,809970,2729354,2810287,1017634,196130,1618164,459492,928733,885047,1873456,605478,862130,2551134,2053941,3208028,481527,766429,385990,248512,1049725,1516525,1177714,259733,446346,1375407,1620598,845133,
6727176,1960410,609543,1118465,1573410,2158781,2063767,2041749,1033023,1915467,2028178,1356245,2352128,2881311,3408103,2254115,1375873,1583649,3143263,2472630,482075,2382708,893293,2285489,1440476,1361296,987084,238977,1054509,1683474,1670635,649885,643390,1452004,384458,1677142,2425831,538677,900220,4427437,2458721,401448,831137,1218937,967492,3188485,1830364,2753770,3047178,2316659,
3967509,1948425,1896802,2860729,3574871,2860392,2226009,2462692,4334047,1491336,1090189,1934461,961069,1681465,715468,3152497,1007438,936340,2372934,5219865,2348012,5537994,2770826,3385305,1350536,2696165,3373030,2163669,1829651,2224359,3823403,891139,8093071,2387537,1943438,2692496,1411446,2733588,1296077,2165870,1180231,2093017,2015298,2041542,3641518,2320947,1620052,1087208,6930444,1718812,
