R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,
10779,12296,12418,10712,13604,13743,9454,9864,13224,9012,10805,13434,13992,11650,8731,13985,18149,13397,8899,15508,8659,13713,12482,9692,12682,12372,8971,12496,11834,21964,12290,12253,9400,8992,12037,9668,9159,8955,9383,11791,8911,8833,11424,10824,13094,12427,10839,9281,9078,8774,
12082,13139,11657,11992,11776,12217,11862,20477,12295,16206,11669,15182,11892,14218,12196,11912,12951,16911,16453,19811,13401,13363,16852,18189,12698,13787,15446,15766,18264,15461,12061,15014,12016,15492,15831,17884,18527,17378,11801,13163,11860,12344,12018,12525,12087,12520,12023,11781,11996,16501,
24639,16688,18547,16134,16076,16248,18598,19901,17092,18404,18096,15477,16000,17818,15994,18925,16512,16188,19039,21472,19259,16682,17638,16526,16597,21520,20703,16361,23530,24194,16053,17543,16524,17523,22827,24986,16904,16410,16317,16547,16655,16387,19203,23068,16555,19185,16931,16557,16468,17125,
23141,22510,22539,22434,23107,22707,23734,26613,24108,30160,22021,22067,22579,22476,25612,30300,33947,22173,28430,31847,34756,35195,32312,23553,24760,22572,27506,34872,35668,35450,39546,36431,30195,35244,24421,22282,30268,34885,22383,31741,25141,22900,22648,22115,23011,22998,22647,23027,23054,25850,
31793,31224,31134,31224,34820,46134,31125,32783,32664,31129,33584,31388,30625,32884,41451,40169,41466,38004,52633,31871,46476,31166,39774,37170,43734,51343,31346,33048,44233,31412,46523,31271,30767,44311,34442,31256,31335,31607,32883,34924,30762,30947,31878,33567,31180,31925,31554,31716,33644,31669,
43863,43996,43581,43648,43798,43620,43372,66492,44044,43903,44029,46399,43377,42805,42588,44488,43511,43295,50208,50227,46903,43785,58597,42392,43172,54917,43181,43688,43820,43438,43056,42347,43480,43661,43685,43078,43530,42388,43830,42735,43018,42180,42564,42956,49779,64465,53731,43193,57784,44264,
57309,56648,57189,60142,57165,56199,56294,284629,57878,57540,57483,59263,57127,58264,56685,57433,56926,56994,58633,70513,62547,56495,57317,56275,57120,56721,57277,57024,56670,56077,57864,56860,56752,57162,132499,57083,80411,84469,76213,59740,64455,66874,84551,76173,82692,56188,80394,59334,80860,56536,
76017,74936,75081,140043,74378,106619,114338,74903,106754,176096,75081,105474,94512,73051,74840,75927,81967,74575,74454,99474,96887,74611,95916,74858,86487,78369,82810,75551,107191,113054,75173,75558,161024,77780,74700,75029,75898,109437,80151,74787,94943,75210,101892,101134,74417,96747,81142,104950,107893,105995,
97304,131384,128338,98310,105542,99357,117684,139520,125865,133051,97447,132432,97119,98084,114601,111389,111693,107111,98076,130445,141273,150378,99394,125177,97750,133513,134506,156730,153508,156377,156372,159163,156435,155749,155617,155359,96762,124579,146383,99448,164745,138121,96616,98524,119219,143669,141143,99703,97615,104523,
174233,124101,126785,128804,126116,125820,150058,129432,174101,188237,201415,200972,201118,126122,128660,128260,174032,126294,172788,128367,126920,126820,128196,126438,162745,126130,126230,142838,179391,177053,124517,161903,141352,129041,162965,186854,167237,143791,201476,126957,127484,165509,127170,180621,131159,128008,169958,199645,127525,124290,
190178,159819,203600,212504,235850,269817,160249,159251,158479,158959,161676,165546,226732,236088,178700,257227,179733,159775,204751,159354,160155,156350,159160,156959,158153,161425,159655,161036,196940,160180,161086,158079,158986,180136,161912,161291,159447,160972,162076,157193,172538,177716,224447,158118,194791,157932,161057,164747,160593,158033,
216614,203266,238547,198061,199158,199947,228334,248298,202902,200304,202664,198663,198868,199110,206806,199763,251883,349030,222101,196109,196079,288388,199189,202135,197842,199060,201048,197578,199766,254276,198980,204719,283452,200979,200475,201767,199439,205671,198583,210628,197537,204549,201801,200874,202400,198101,200956,230753,281803,266257,
